name,project_path,primary_contract,compiler_version,label
zrxtoken_e41d2489571d322189246dafa5ebde1f4699f498,smartbugs_wild/zrxtoken_e41d2489571d322189246dafa5ebde1f4699f498,ZRXToken,0.4.11,1
hourglass_b3775fb83f7d12a36e0475abdd1fca35c091efbe,smartbugs_wild/hourglass_b3775fb83f7d12a36e0475abdd1fca35c091efbe,Hourglass,0.4.20,1
aergotoken_ae31b85bfe62747d0836b82608b4830361a3d37a,smartbugs_wild/aergotoken_ae31b85bfe62747d0836b82608b4830361a3d37a,AergoToken,0.4.24,0
powerledger_595832f8fc6bf59c85c527fec3740a1b7a361269,smartbugs_wild/powerledger_595832f8fc6bf59c85c527fec3740a1b7a361269,PowerLedger,0.4.11,0
tokenstore_1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,smartbugs_wild/tokenstore_1ce7ae555139c5ef5a57cc8d814a867ee6ee33d8,TokenStore,0.4.13,1
npxstoken_a15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,smartbugs_wild/npxstoken_a15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,NPXSToken,0.4.20,1
salt_4156d3342d5c385a87d264f90653733592000581,smartbugs_wild/salt_4156d3342d5c385a87d264f90653733592000581,Salt,0.4.8,1
tuzycoin_5da8d37485b4374fc338fc1f1ea31d07eb7bedd3,smartbugs_wild/tuzycoin_5da8d37485b4374fc338fc1f1ea31d07eb7bedd3,TuzyCoin,0.4.23,1
zilliqatoken_5f4a42e251f2d52b8ed15e9fedaacfcef1fad27,smartbugs_wild/zilliqatoken_5f4a42e251f2d52b8ed15e9fedaacfcef1fad27,ZilliqaToken,0.4.18,1
aetoken_5ca9a71b1d01849c0a95490cc00559717fcf0d1d,smartbugs_wild/aetoken_5ca9a71b1d01849c0a95490cc00559717fcf0d1d,AEToken,0.4.16,1
mchdailyactionv2_fd0174784ebce943bdb8832ecdea9fea30e7c7a9,smartbugs_wild/mchdailyactionv2_fd0174784ebce943bdb8832ecdea9fea30e7c7a9,MCHDailyActionV2,0.5.2,0
gifto_c5bbae50781be1669306b9e001eff57a2957b09d,smartbugs_wild/gifto_c5bbae50781be1669306b9e001eff57a2957b09d,Gifto,0.4.18,1
orbstoken_ff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,smartbugs_wild/orbstoken_ff56cc6b1e6ded347aa0b7676c85ab0b3d08b0fa,OrbsToken,0.4.23,0
bnb_b8c77482e45f1f44de1745f52c74426c631bdd52,smartbugs_wild/bnb_b8c77482e45f1f44de1745f52c74426c631bdd52,BNB,0.4.12,1
ga_chain_d77bcd9cf4212a41defbcd2e2ff0f50fea2be643,smartbugs_wild/ga_chain_d77bcd9cf4212a41defbcd2e2ff0f50fea2be643,GA_chain,0.4.20,1
iovtoken_e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,smartbugs_wild/iovtoken_e69d0a2bbb30abcb7e5cfea0e4fde19c00a8d47,IOVToken,0.4.23,1
manatoken_f5d2fb29fb7d3cfee444a200298f468908cc942,smartbugs_wild/manatoken_f5d2fb29fb7d3cfee444a200298f468908cc942,MANAToken,0.4.11,1
exchange_2a0c0dbecc7e4d658f48e01e3fa353f44050c208,smartbugs_wild/exchange_2a0c0dbecc7e4d658f48e01e3fa353f44050c208,Exchange,0.4.16,1
cpctoken_8fdcc30eda7e94f1c12ce0280df6cd531e8365c5,smartbugs_wild/cpctoken_8fdcc30eda7e94f1c12ce0280df6cd531e8365c5,CpcToken,0.4.24,1
simplechildtoken_d152b9ee87ebae179f64c067a966dd716c50742,smartbugs_wild/simplechildtoken_d152b9ee87ebae179f64c067a966dd716c50742,SimpleChildToken,0.4.24,1
golemnetworktoken_a74476443119a942de498590fe1f2454d7d4ac0d,smartbugs_wild/golemnetworktoken_a74476443119a942de498590fe1f2454d7d4ac0d,GolemNetworkToken,0.4.4,0
ocoin_4092678e4e78230f46a1534c0fbc8fa39780892b,smartbugs_wild/ocoin_4092678e4e78230f46a1534c0fbc8fa39780892b,OCoin,0.4.18,1
spntoken_67bc56caad630dc1719b14a540adc8e9968325c3,smartbugs_wild/spntoken_67bc56caad630dc1719b14a540adc8e9968325c3,SPNToken,0.4.18,0
kittycore_6012c8cf97bead5deae237070f9587f8e7a266d,smartbugs_wild/kittycore_6012c8cf97bead5deae237070f9587f8e7a266d,KittyCore,0.4.18,1
numerairebackend_1776e1f26f98b1a5df9cd347953a26dd3cb46671,smartbugs_wild/numerairebackend_1776e1f26f98b1a5df9cd347953a26dd3cb46671,NumeraireBackend,0.4.11,1
trontoken_f230b790e05390fc8295f4d3f60332c93bed42e2,smartbugs_wild/trontoken_f230b790e05390fc8295f4d3f60332c93bed42e2,TronToken,0.4.16,1
btmc_4a8f44be523580a11cdb20e2c7c470adf44ec9bb,smartbugs_wild/btmc_4a8f44be523580a11cdb20e2c7c470adf44ec9bb,BTMC,0.4.22,1
stoxvotinglog_9ba742f3a158ec4f7b317270037716cc84aafec1,smartbugs_wild/stoxvotinglog_9ba742f3a158ec4f7b317270037716cc84aafec1,StoxVotingLog,0.4.25,0
safeconditionalhftransfer_1e143b2588705dfea63a17f2032ca123df995ce0,smartbugs_wild/safeconditionalhftransfer_1e143b2588705dfea63a17f2032ca123df995ce0,SafeConditionalHFTransfer,0.3.5,0
telcoin_85e076361cc813a908ff672f9bad1541474402b2,smartbugs_wild/telcoin_85e076361cc813a908ff672f9bad1541474402b2,Telcoin,0.4.18,0
hbtoken_6f259637dcd74c767781e37bc6133cd6a68aa161,smartbugs_wild/hbtoken_6f259637dcd74c767781e37bc6133cd6a68aa161,HBToken,0.4.20,1
pmd_89700d6cd7b77d1f52c29ca776a1eae313320fc5,smartbugs_wild/pmd_89700d6cd7b77d1f52c29ca776a1eae313320fc5,PMD,0.4.24,0
kamagamestoken_3282eb043414888a7c818ac9db0e8086fd5741c2,smartbugs_wild/kamagamestoken_3282eb043414888a7c818ac9db0e8086fd5741c2,KamaGamesToken,0.4.25,0
canyacoin_1d462414fe14cf489c7a21cac78509f4bf8cd7c0,smartbugs_wild/canyacoin_1d462414fe14cf489c7a21cac78509f4bf8cd7c0,CanYaCoin,0.4.15,0
friendztoken_23352036e911a22cfc692b5e2e196692658aded9,smartbugs_wild/friendztoken_23352036e911a22cfc692b5e2e196692658aded9,FriendzToken,0.4.20,0
pfc_a37d94e80eab7a5bcb6d2e76b7666e341e4b58f6,smartbugs_wild/pfc_a37d94e80eab7a5bcb6d2e76b7666e341e4b58f6,PFC,0.4.24,1
coinage_7415c7bf3e2415fa9a55f1fd8b6fccf2914c39a6,smartbugs_wild/coinage_7415c7bf3e2415fa9a55f1fd8b6fccf2914c39a6,Coinage,0.4.20,1
ecomtoken_171d750d42d661b62c277a6b486adb82348c3eca,smartbugs_wild/ecomtoken_171d750d42d661b62c277a6b486adb82348c3eca,EcomToken,0.4.20,0
ownedupgradeabilityproxy_85d4780b73119b644ae5ecd22b376,smartbugs_wild/ownedupgradeabilityproxy_85d4780b73119b644ae5ecd22b376,OwnedUpgradeabilityProxy,0.4.23,1
miracleteletoken_b363a3c584b1f379c79fbf09df015da5529d4dac,smartbugs_wild/miracleteletoken_b363a3c584b1f379c79fbf09df015da5529d4dac,MiracleTeleToken,0.4.18,1
pumapaytoken_846c66cf71c43f80403b51fe3906b3599d63336f,smartbugs_wild/pumapaytoken_846c66cf71c43f80403b51fe3906b3599d63336f,PumaPayToken,0.4.20,0
controller_a3c1e324ca1ce40db73ed6026c4a177f099b5770,smartbugs_wild/controller_a3c1e324ca1ce40db73ed6026c4a177f099b5770,Controller,0.4.11,1
iostoken_fa1a856cfa3409cfa145fa4e20eb270df3eb21ab,smartbugs_wild/iostoken_fa1a856cfa3409cfa145fa4e20eb270df3eb21ab,IOSToken,0.4.20,1
hydrotoken_9af839687f6c94542ac5ece2e317daae355493a1,smartbugs_wild/hydrotoken_9af839687f6c94542ac5ece2e317daae355493a1,HydroToken,0.4.18,0
currency_3bff697e966b77cb4f0e32815dd020b09750b22d,smartbugs_wild/currency_3bff697e966b77cb4f0e32815dd020b09750b22d,Currency,0.5.1,0
droptoken_4672bad527107471cb5067a887f4656d585a8a31,smartbugs_wild/droptoken_4672bad527107471cb5067a887f4656d585a8a31,DropToken,0.4.20,1
instoken_5b2e4a700dfbc560061e957edec8f6eeeb74a320,smartbugs_wild/instoken_5b2e4a700dfbc560061e957edec8f6eeeb74a320,INSToken,0.4.18,0
linktoken_514910771af9ca656af840dff83e8264ecf986ca,smartbugs_wild/linktoken_514910771af9ca656af840dff83e8264ecf986ca,LinkToken,0.4.16,1
paytoken_b97048628db6b661d4c2aa833e95dbe1a905b280,smartbugs_wild/paytoken_b97048628db6b661d4c2aa833e95dbe1a905b280,PayToken,0.4.11,1
cosmocoin_c4bcd64cb216d49fd3c643a32762f34626b45a1a,smartbugs_wild/cosmocoin_c4bcd64cb216d49fd3c643a32762f34626b45a1a,CosmoCoin,0.4.18,0
amplify_735af341f2d9ce3663616cd84ff522dbf62fbc1f,smartbugs_wild/amplify_735af341f2d9ce3663616cd84ff522dbf62fbc1f,Amplify,0.4.24,0
fckdice_999999c60566e0a78df17f71886333e1dace0bae,smartbugs_wild/fckdice_999999c60566e0a78df17f71886333e1dace0bae,FckDice,0.5.1,1
erc20token_c4131c1893576e078a0b637b653f3e6a18e137ac,smartbugs_wild/erc20token_c4131c1893576e078a0b637b653f3e6a18e137ac,ERC20Token,0.4.24,1
matchingmarket_14fbca95be7e99c15cc2996c6c9d841e54b79425,smartbugs_wild/matchingmarket_14fbca95be7e99c15cc2996c6c9d841e54b79425,MatchingMarket,0.4.20,1
omgtoken_d26114cd6ee289accf82350c8d8487fedb8a0c07,smartbugs_wild/omgtoken_d26114cd6ee289accf82350c8d8487fedb8a0c07,OMGToken,0.4.11,1
centrallyissuedtoken_b64ef51c888972c908cfacf59b47c1afbc0ab8ac,smartbugs_wild/centrallyissuedtoken_b64ef51c888972c908cfacf59b47c1afbc0ab8ac,CentrallyIssuedToken,0.4.8,1
nexotoken_b62132e35a6c13ee1ee0f84dc5d40bad8d815206,smartbugs_wild/nexotoken_b62132e35a6c13ee1ee0f84dc5d40bad8d815206,NexoToken,0.4.23,0
fundraiser_b56d622ddf60ec532b5f43b4ff9b0e7b1ff92db3,smartbugs_wild/fundraiser_b56d622ddf60ec532b5f43b4ff9b0e7b1ff92db3,Fundraiser,0.4.11,0
rouleth_18a672e11d637fffadccc99b152f4895da069601,smartbugs_wild/rouleth_18a672e11d637fffadccc99b152f4895da069601,Rouleth,0.3.5,0
adbank_2baac9330cf9ac479d819195794d79ad0c7616e3,smartbugs_wild/adbank_2baac9330cf9ac479d819195794d79ad0c7616e3,AdBank,0.4.20,0
ven_d850942ef8811f2a866692a623011bde52a462c1,smartbugs_wild/ven_d850942ef8811f2a866692a623011bde52a462c1,VEN,0.4.11,1
abetoken_1dc2189b355b5f53b5fdf64d22891900b19fb5ea,smartbugs_wild/abetoken_1dc2189b355b5f53b5fdf64d22891900b19fb5ea,ABEToken,0.4.21,0
dstoken_86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,smartbugs_wild/dstoken_86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,DSToken,0.4.11,1
c20_26e75307fc0c021472feb8f727839531f112f317,smartbugs_wild/c20_26e75307fc0c021472feb8f727839531f112f317,C20,0.4.11,0
bectoken_3495ffcee09012ab7d827abf3e3b3ae428a38443,smartbugs_wild/bectoken_3495ffcee09012ab7d827abf3e3b3ae428a38443,BecToken,0.4.23,1
meetonetoken_49e033122c8300a6d5091acf667494466ee4a9d2,smartbugs_wild/meetonetoken_49e033122c8300a6d5091acf667494466ee4a9d2,MeetOneToken,0.4.21,0
livepeertoken_58b6a8a3302369daec383334672404ee733ab239,smartbugs_wild/livepeertoken_58b6a8a3302369daec383334672404ee733ab239,LivepeerToken,0.4.18,0
fcs_d56c90a1b12c93bb48e9a0904a2a1e1d9dcb5161,smartbugs_wild/fcs_d56c90a1b12c93bb48e9a0904a2a1e1d9dcb5161,FCS,0.5.0,0
dice2win_d1ceeeeee83f8bcf3bedad437202b6154e9f5405,smartbugs_wild/dice2win_d1ceeeeee83f8bcf3bedad437202b6154e9f5405,Dice2Win,0.4.24,1
humanstandardtoken_9a642d6b3368ddc662ca244badf32cda716005bc,smartbugs_wild/humanstandardtoken_9a642d6b3368ddc662ca244badf32cda716005bc,HumanStandardToken,0.4.10,1
dailyaction_ee6bd04c6164d7f0fa1cb03277c855639d99a7f6,smartbugs_wild/dailyaction_ee6bd04c6164d7f0fa1cb03277c855639d99a7f6,DailyAction,0.5.2,0
paragoncointoken_7728dfef5abd468669eb7f9b48a7f70a501ed29d,smartbugs_wild/paragoncointoken_7728dfef5abd468669eb7f9b48a7f70a501ed29d,ParagonCoinToken,0.4.16,0
enjtoken_f629cbd94d3791c9250152bd8dfbdf380e2a3b9c,smartbugs_wild/enjtoken_f629cbd94d3791c9250152bd8dfbdf380e2a3b9c,ENJToken,0.4.15,1
gsenetwork_e530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,smartbugs_wild/gsenetwork_e530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,GSENetwork,0.4.21,1
hotdollarstoken_cafe27178308351a12fffffdeb161d9d730da082,smartbugs_wild/hotdollarstoken_cafe27178308351a12fffffdeb161d9d730da082,HotDollarsToken,0.5.8,1
etherdelta_8d12a197cb00d4747a1fe03395095ce2a5cc6819,smartbugs_wild/etherdelta_8d12a197cb00d4747a1fe03395095ce2a5cc6819,EtherDelta,0.4.9,1
cryptocontroltoken_4a9e09f6d1f643ee5f3b02039843d774a224577a,smartbugs_wild/cryptocontroltoken_4a9e09f6d1f643ee5f3b02039843d774a224577a,CryptoControlToken,0.5.1,0
namcoin_5984006707585f66465e8a6505341f46b64fa7a,smartbugs_wild/namcoin_5984006707585f66465e8a6505341f46b64fa7a,NamCoin,0.4.18,0
kybernetworkcrystal_dd974d5c2e2928dea5f71b9825b8b646686bd200,smartbugs_wild/kybernetworkcrystal_dd974d5c2e2928dea5f71b9825b8b646686bd200,KyberNetworkCrystal,0.4.15,1
batoken_d8775f648430679a709e98d2b0cb6250d2887ef,smartbugs_wild/batoken_d8775f648430679a709e98d2b0cb6250d2887ef,BAToken,0.4.10,1
mcap_93e682107d1e9defb0b5ee701c71707a4b2e46bc,smartbugs_wild/mcap_93e682107d1e9defb0b5ee701c71707a4b2e46bc,MCAP,0.4.11,1
covatoken_b37a769b37224449d92aac57de379e1267cd3b00,smartbugs_wild/covatoken_b37a769b37224449d92aac57de379e1267cd3b00,CovaToken,0.4.24,0
eossale_d0a6e6c54dbc68db5db3a091b171a77407ff7ccf,smartbugs_wild/eossale_d0a6e6c54dbc68db5db3a091b171a77407ff7ccf,EOSSale,0.4.11,1
vantatoken_dcc27bbaa14cafd8a6aeb847e1b01c5dffb70935,smartbugs_wild/vantatoken_dcc27bbaa14cafd8a6aeb847e1b01c5dffb70935,VantaToken,0.5.1,0
facetertoken_1ccaa0f2a7210d76e1fdec740d5f323e2e1b1672,smartbugs_wild/facetertoken_1ccaa0f2a7210d76e1fdec740d5f323e2e1b1672,FaceterToken,0.4.20,0
etoken2_331d077518216c07c87f4f18ba64cd384c411f84,smartbugs_wild/etoken2_331d077518216c07c87f4f18ba64cd384c411f84,EToken2,0.4.8,0
socialactivitytoken_c56b13ebbcffa67cfb7979b900b736b3fb480d78,smartbugs_wild/socialactivitytoken_c56b13ebbcffa67cfb7979b900b736b3fb480d78,SocialActivityToken,0.4.20,0
gambiotoken_a0008f510fe9ee696e7e320c9e5cbf61e27791ee,smartbugs_wild/gambiotoken_a0008f510fe9ee696e7e320c9e5cbf61e27791ee,GambioToken,0.4.24,0
lbn_48bd67ad140c9d10f94099c1cef7ab17d90ac335,smartbugs_wild/lbn_48bd67ad140c9d10f94099c1cef7ab17d90ac335,LBN,0.4.20,0
trustcoin_cb94be6f13a1182e4a4b6140cb7bf2025d28e41b,smartbugs_wild/trustcoin_cb94be6f13a1182e4a4b6140cb7bf2025d28e41b,Trustcoin,0.4.8,0
omixtoken_b5dbc6d3cf380079df3b27135664b6bcf45d1869,smartbugs_wild/omixtoken_b5dbc6d3cf380079df3b27135664b6bcf45d1869,OmixToken,0.4.20,0
luckyoneguess_79bde2574d61f2bdbfe4c333a594fbba3c99e122,smartbugs_wild/luckyoneguess_79bde2574d61f2bdbfe4c333a594fbba3c99e122,LuckyoneGuess,0.4.24,0
skyftoken_5dd0815a4cf119ad91ba045bbbf879f3f7de3c68,smartbugs_wild/skyftoken_5dd0815a4cf119ad91ba045bbbf879f3f7de3c68,SKYFToken,0.4.24,0
zeusshieldcoin_7a41e0517a5eca4fdbc7fbeba4d4c47b9ff6dc63,smartbugs_wild/zeusshieldcoin_7a41e0517a5eca4fdbc7fbeba4d4c47b9ff6dc63,ZeusShieldCoin,0.4.11,0
divxtoken_13f11c9905a08ca76e3e853be63d4f0944326c72,smartbugs_wild/divxtoken_13f11c9905a08ca76e3e853be63d4f0944326c72,DIVXToken,0.4.11,0
